SampleID	Time_point	Tissue_type	State	Field	Sampling_date	ID	NewSampleID	OldID	Site	Main_plot	Sub_plot_A	Sub_plot_B	CA_Row	Location	Block	Bed	row	Year
CCCR1R1	T0	Rhizosphere	California	CA_Field_1		CCC1	Z-T0-CCC1		CA1	control	control	control	1					2021
CCCR2R1	T0	Rhizosphere	California	CA_Field_1		CCC2	Z-T0-CCC2		CA1	control	control	control	2					2021
CCCR3R1	T0	Rhizosphere	California	CA_Field_1		CCC3	Z-T0-CCC3		CA1	control	control	control	3					2021
CCCR4R1	T0	Rhizosphere	California	CA_Field_1		CCC4	Z-T0-CCC4		CA1	control	control	control	4					2021
CCHR1R2	T0	Rhizosphere	California	CA_Field_1		CCH1	Z-T0-CCH1		CA1	control	control	humic	1					2021
CCHR2R1	T0	Rhizosphere	California	CA_Field_1		CCH2	Z-T0-CCH2		CA1	control	control	humic	2					2021
CCHR3R1	T0	Rhizosphere	California	CA_Field_1		CCH3	Z-T0-CCH3		CA1	control	control	humic	3					2021
CCHR4R1	T0	Rhizosphere	California	CA_Field_1		CCH4	Z-T0-CCH4		CA1	control	control	humic	4					2021
CGCR1R1	T0	Rhizosphere	California	CA_Field_1		CGC1	Z-T0-CGC1		CA1	control	Glyphosate	control	1					2021
CGCR2R1	T0	Rhizosphere	California	CA_Field_1		CGC2	Z-T0-CGC2		CA1	control	Glyphosate	control	2					2021
CGCR3R1	T0	Rhizosphere	California	CA_Field_1		CGC3	Z-T0-CGC3		CA1	control	Glyphosate	control	3					2021
CGCR4R1	T0	Rhizosphere	California	CA_Field_1		CGC4	Z-T0-CGC4		CA1	control	Glyphosate	control	4					2021
L-T0-CCC1	T0	Leaves	California	CA_Field_1	6/1/21	CCC1	L-T0-CCC1	CCC1	CA1	control	control	control	1					2021
L-T0-CCC2	T0	Leaves	California	CA_Field_1	6/1/21	CCC2	L-T0-CCC2	CCC2	CA1	control	control	control	2					2021
L-T0-CCC3	T0	Leaves	California	CA_Field_1	6/1/21	CCC3	L-T0-CCC3	CCC3	CA1	control	control	control	3					2021
L-T0-CCC4	T0	Leaves	California	CA_Field_1	6/1/21	CCC4	L-T0-CCC4	CCC4	CA1	control	control	control	4					2021
L-T0-CCH1	T0	Leaves	California	CA_Field_1	6/1/21	CCH1	L-T0-CCH1	CCH1	CA1	control	control	humic	1					2021
L-T0-CCH2	T0	Leaves	California	CA_Field_1	6/1/21	CCH2	L-T0-CCH2	CCH2	CA1	control	control	humic	2					2021
L-T0-CCH3	T0	Leaves	California	CA_Field_1	6/1/21	CCH3	L-T0-CCH3	CCH3	CA1	control	control	humic	3					2021
L-T0-CCH4	T0	Leaves	California	CA_Field_1	6/1/21	CCH4	L-T0-CCH4	CCH4	CA1	control	control	humic	4					2021
L-T0-CGC1	T0	Leaves	California	CA_Field_1	6/1/21	CGC1	L-T0-CGC1	CGC1	CA1	control	Glyphosate	control	1					2021
L-T0-CGC2	T0	Leaves	California	CA_Field_1	6/1/21	CGC2	L-T0-CGC2	CGC2	CA1	control	Glyphosate	control	2					2021
L-T0-CGC3	T0	Leaves	California	CA_Field_1	6/1/21	CGC3	L-T0-CGC3	CGC3	CA1	control	Glyphosate	control	3					2021
L-T0-CGC4	T0	Leaves	California	CA_Field_1	6/1/21	CGC4	L-T0-CGC4	CGC4	CA1	control	Glyphosate	control	4					2021
L-T0-CGH1	T0	Leaves	California	CA_Field_1	6/1/21	CGH1	L-T0-CGH1	CGH1	CA1	control	Glyphosate	humic	1					2021
L-T0-CGH2	T0	Leaves	California	CA_Field_1	6/1/21	CGH2	L-T0-CGH2	CGH2	CA1	control	Glyphosate	humic	2					2021
L-T0-CGH3	T0	Leaves	California	CA_Field_1	6/1/21	CGH3	L-T0-CGH3	CGH3	CA1	control	Glyphosate	humic	3					2021
L-T0-CGH4	T0	Leaves	California	CA_Field_1	6/1/21	CGH4	L-T0-CGH4	CGH4	CA1	control	Glyphosate	humic	4					2021
L-T0-MCC1	T0	Leaves	California	CA_Field_1	6/1/21	MCC1	L-T0-MCC1	MCC1	CA1	mulch	control	control	1					2021
L-T0-MCC2	T0	Leaves	California	CA_Field_1	6/1/21	MCC2	L-T0-MCC2	MCC2	CA1	mulch	control	control	2					2021
L-T0-MCC3	T0	Leaves	California	CA_Field_1	6/1/21	MCC3	L-T0-MCC3	MCC3	CA1	mulch	control	control	3					2021
L-T0-MCC4	T0	Leaves	California	CA_Field_1	6/1/21	MCC4	L-T0-MCC4	MCC4	CA1	mulch	control	control	4					2021
L-T0-MCH1	T0	Leaves	California	CA_Field_1	6/1/21	MCH1	L-T0-MCH1	MCH1	CA1	mulch	control	humic	1					2021
L-T0-MCH2	T0	Leaves	California	CA_Field_1	6/1/21	MCH2	L-T0-MCH2	MCH2	CA1	mulch	control	humic	2					2021
L-T0-MCH3	T0	Leaves	California	CA_Field_1	6/1/21	MCH3	L-T0-MCH3	MCH3	CA1	mulch	control	humic	3					2021
L-T0-MCH4	T0	Leaves	California	CA_Field_1	6/1/21	MCH4	L-T0-MCH4	MCH4	CA1	mulch	control	humic	4					2021
L-T0-MGC1	T0	Leaves	California	CA_Field_1	6/1/21	MGC1	L-T0-MGC1	MGC1	CA1	mulch	Glyphosate	control	1					2021
L-T0-MGC2	T0	Leaves	California	CA_Field_1	6/1/21	MGC2	L-T0-MGC2	MGC2	CA1	mulch	Glyphosate	control	2					2021
L-T0-MGC3	T0	Leaves	California	CA_Field_1	6/1/21	MGC3	L-T0-MGC3	MGC3	CA1	mulch	Glyphosate	control	3					2021
L-T0-MGC4	T0	Leaves	California	CA_Field_1	6/1/21	MGC4	L-T0-MGC4	MGC4	CA1	mulch	Glyphosate	control	4					2021
L-T0-MGH1	T0	Leaves	California	CA_Field_1	6/1/21	MGH1	L-T0-MGH1	MGH1	CA1	mulch	Glyphosate	humic	1					2021
L-T0-MGH2	T0	Leaves	California	CA_Field_1	6/1/21	MGH2	L-T0-MGH2	MGH2	CA1	mulch	Glyphosate	humic	2					2021
L-T0-MGH3	T0	Leaves	California	CA_Field_1	6/1/21	MGH3	L-T0-MGH3	MGH3	CA1	mulch	Glyphosate	humic	3					2021
L-T0-MGH4	T0	Leaves	California	CA_Field_1	6/1/21	MGH4	L-T0-MGH4	MGH4	CA1	mulch	Glyphosate	humic	4					2021
MCCR1R1	T0	Rhizosphere	California	CA_Field_1		MCC1	Z-T0-MCC1		CA1	mulch	control	control	1					2021
MCCR2R1	T0	Rhizosphere	California	CA_Field_1		MCC2	Z-T0-MCC2		CA1	mulch	control	control	2					2021
MCCR3R1	T0	Rhizosphere	California	CA_Field_1		MCC3	Z-T0-MCC3		CA1	mulch	control	control	3					2021
MCCR4R1	T0	Rhizosphere	California	CA_Field_1		MCC4	Z-T0-MCC4		CA1	mulch	control	control	4					2021
MCHR1R1	T0	Rhizosphere	California	CA_Field_1		MCH1	Z-T0-MCH1		CA1	mulch	control	humic	1					2021
MCHR2R1	T0	Rhizosphere	California	CA_Field_1		MCH2	Z-T0-MCH2		CA1	mulch	control	humic	2					2021
MCHR3R1	T0	Rhizosphere	California	CA_Field_1		MCH3	Z-T0-MCH3		CA1	mulch	control	humic	3					2021
MCHR4R1	T0	Rhizosphere	California	CA_Field_1		MCH4	Z-T0-MCH4		CA1	mulch	control	humic	4					2021
MGCR1R1	T0	Rhizosphere	California	CA_Field_1		MGC1	Z-T0-MGC1		CA1	mulch	Glyphosate	control	1					2021
MGCR2R1	T0	Rhizosphere	California	CA_Field_1		MGC2	Z-T0-MGC2		CA1	mulch	Glyphosate	control	2					2021
MGCR3R1	T0	Rhizosphere	California	CA_Field_1		MGC3	Z-T0-MGC3		CA1	mulch	Glyphosate	control	3					2021
MGCR4R1	T0	Rhizosphere	California	CA_Field_1		MGC4	Z-T0-MGC4		CA1	mulch	Glyphosate	control	4					2021
MGHR1R1	T0	Rhizosphere	California	CA_Field_1		MGH1	Z-T0-MGH1		CA1	mulch	Glyphosate	humic	1					2021
MGHR2R1	T0	Rhizosphere	California	CA_Field_1		MGH2	Z-T0-MGH2		CA1	mulch	Glyphosate	humic	2					2021
MGHR2R2	T0	Rhizosphere	California	CA_Field_1		MGH3	Z-T0-MGH3		CA1	mulch	Glyphosate	humic	3					2021
MGHR4R1	T0	Rhizosphere	California	CA_Field_1		MGH4	Z-T0-MGH4		CA1	mulch	Glyphosate	humic	4					2021
R-T0-CCC1	T0	Roots	California	CA_Field_1		CCC1	R-T0-CCC1		CA1	control	control	control	1					2021
R-T0-CCC2	T0	Roots	California	CA_Field_1		CCC2	R-T0-CCC2		CA1	control	control	control	2					2021
R-T0-CCC3	T0	Roots	California	CA_Field_1		CCC3	R-T0-CCC3		CA1	control	control	control	3					2021
R-T0-CCC4	T0	Roots	California	CA_Field_1		CCC4	R-T0-CCC4		CA1	control	control	control	4					2021
R-T0-CCH1	T0	Roots	California	CA_Field_1	6/1/21	CCH1	R-T0-CCH1	CCH1	CA1	control	control	humic	1					2021
R-T0-CCH2	T0	Roots	California	CA_Field_1	6/1/21	CCH2	R-T0-CCH2	CCH2	CA1	control	control	humic	2					2021
R-T0-CCH3	T0	Roots	California	CA_Field_1	6/1/21	CCH3	R-T0-CCH3	CCH3	CA1	control	control	humic	3					2021
R-T0-CCH4	T0	Roots	California	CA_Field_1	6/1/21	CCH4	R-T0-CCH4	CCH4	CA1	control	control	humic	4					2021
R-T0-CGC1	T0	Roots	California	CA_Field_1	6/1/21	CGC1	R-T0-CGC1	CGC1	CA1	control	Glyphosate	control	1					2021
R-T0-CGC2	T0	Roots	California	CA_Field_1	6/1/21	CGC2	R-T0-CGC2	CGC2	CA1	control	Glyphosate	control	2					2021
R-T0-CGC3	T0	Roots	California	CA_Field_1	6/1/21	CGC3	R-T0-CGC3	CGC3	CA1	control	Glyphosate	control	3					2021
R-T0-CGC4	T0	Roots	California	CA_Field_1	6/1/21	CGC4	R-T0-CGC4	CGC4	CA1	control	Glyphosate	control	4					2021
R-T0-CGH1	T0	Roots	California	CA_Field_1	6/1/21	CGH1	R-T0-CGH1	CGH1	CA1	control	Glyphosate	humic	1					2021
R-T0-CGH2	T0	Roots	California	CA_Field_1	6/1/21	CGH2	R-T0-CGH2	CGH2	CA1	control	Glyphosate	humic	2					2021
R-T0-CGH3	T0	Roots	California	CA_Field_1	6/1/21	CGH3	R-T0-CGH3	CGH3	CA1	control	Glyphosate	humic	3					2021
R-T0-CGH4	T0	Roots	California	CA_Field_1	6/1/21	CGH4	R-T0-CGH4	CGH4	CA1	control	Glyphosate	humic	4					2021
R-T0-MCC1	T0	Roots	California	CA_Field_1	6/1/21	MCC1	R-T0-MCC1	MCC1	CA1	mulch	control	control	1					2021
R-T0-MCC2	T0	Roots	California	CA_Field_1	6/1/21	MCC2	R-T0-MCC2	MCC2	CA1	mulch	control	control	2					2021
R-T0-MCC3	T0	Roots	California	CA_Field_1	6/1/21	MCC3	R-T0-MCC3	MCC3	CA1	mulch	control	control	3					2021
R-T0-MCC4	T0	Roots	California	CA_Field_1	6/1/21	MCC4	R-T0-MCC4	MCC4	CA1	mulch	control	control	4					2021
R-T0-MCH1	T0	Roots	California	CA_Field_1	6/1/21	MCH1	R-T0-MCH1	MCH1	CA1	mulch	control	humic	1					2021
R-T0-MCH2	T0	Roots	California	CA_Field_1	6/1/21	MCH2	R-T0-MCH2	MCH2	CA1	mulch	control	humic	2					2021
R-T0-MCH3	T0	Roots	California	CA_Field_1	6/1/21	MCH3	R-T0-MCH3	MCH3	CA1	mulch	control	humic	3					2021
R-T0-MCH4	T0	Roots	California	CA_Field_1	6/1/21	MCH4	R-T0-MCH4	MCH4	CA1	mulch	control	humic	4					2021
R-T0-MGC1	T0	Roots	California	CA_Field_1	6/1/21	MGC1	R-T0-MGC1	MGC1	CA1	mulch	Glyphosate	control	1					2021
R-T0-MGC2	T0	Roots	California	CA_Field_1	6/1/21	MGC2	R-T0-MGC2	MGC2	CA1	mulch	Glyphosate	control	2					2021
R-T0-MGC3	T0	Roots	California	CA_Field_1	6/1/21	MGC3	R-T0-MGC3	MGC3	CA1	mulch	Glyphosate	control	3					2021
R-T0-MGC4	T0	Roots	California	CA_Field_1	6/1/21	MGC4	R-T0-MGC4	MGC4	CA1	mulch	Glyphosate	control	4					2021
R-T0-MGH1	T0	Roots	California	CA_Field_1	6/1/21	MGH1	R-T0-MGH1	MGH1	CA1	mulch	Glyphosate	humic	1					2021
R-T0-MGH2	T0	Roots	California	CA_Field_1	6/1/21	MGH2	R-T0-MGH2	MGH2	CA1	mulch	Glyphosate	humic	2					2021
R-T0-MGH3	T0	Roots	California	CA_Field_1	6/1/21	MGH3	R-T0-MGH3	MGH3	CA1	mulch	Glyphosate	humic	3					2021
R-T0-MGH4	T0	Roots	California	CA_Field_1	6/1/21	MGH4	R-T0-MGH4	MGH4	CA1	mulch	Glyphosate	humic	4					2021
Soil1-1-T0	T0	Bulk_soil	California	CA_Field_1		CCC1_r1	S-T0-CCC1_r1		CA1	control	control	control						2021
Soil1-2-T0	T0	Bulk_soil	California	CA_Field_1		CCC1_r2	S-T0-CCC1_r2		CA1	control	control	control						2021
Soil2-1-T0	T0	Bulk_soil	California	CA_Field_1		CCC2_r1	S-T0-CCC2_r1		CA1	control	control	control						2021
Soil2-2-T0	T0	Bulk_soil	California	CA_Field_1		CCC2_r2	S-T0-CCC2_r2		CA1	control	control	control						2021
Soil3-1-T0	T0	Bulk_soil	California	CA_Field_1		CCC3_r1	S-T0-CCC3_r1		CA1	control	control	control						2021
Soil3-2-T0	T0	Bulk_soil	California	CA_Field_1		CCC3_r2	S-T0-CCC3_r2		CA1	control	control	control						2021
Soil4-1-T0	T0	Bulk_soil	California	CA_Field_1		CCC4_r1	S-T0-CCC4_r1		CA1	control	control	control						2021
Soil4-2-T0	T0	Bulk_soil	California	CA_Field_1		CCC4_r2	S-T0-CCC4_r2		CA1	control	control	control						2021
Soil5-1-T0	T0	Bulk_soil	California	CA_Field_1		CCC5_r1	S-T0-CCC5_r1		CA1	control	control	control						2021
Soil5-2-T0	T0	Bulk_soil	California	CA_Field_1		CCC5_r2	S-T0-CCC5_r2		CA1	control	control	control						2021
CCCT1-S1	T1	Bulk_soil	California	CA_Field_1		CCC1	S-T1-CCC1		CA1	control	control	control	1					2022
CCCT1-S2	T1	Bulk_soil	California	CA_Field_1		CCC2	S-T1-CCC2		CA1	control	control	control	2					2022
CCCT1-S3	T1	Bulk_soil	California	CA_Field_1		CCC3	S-T1-CCC3		CA1	control	control	control	3					2022
CCCT1-S4	T1	Bulk_soil	California	CA_Field_1		CCC4	S-T1-CCC4		CA1	control	control	control	4					2022
CCCT1R1	T1	Rhizosphere	California	CA_Field_1		CCC1	Z-T1-CCC1		CA1	control	control	control	1					2022
CCCT1R2	T1	Rhizosphere	California	CA_Field_1		CCC2	Z-T1-CCC2		CA1	control	control	control	2					2022
CCCT1R3	T1	Rhizosphere	California	CA_Field_1		CCC3	Z-T1-CCC3		CA1	control	control	control	3					2022
CCCT1R4	T1	Rhizosphere	California	CA_Field_1		CCC4	Z-T1-CCC4		CA1	control	control	control	4					2022
CCHT1-S1	T1	Bulk_soil	California	CA_Field_1		CCH1	S-T1-CCH1		CA1	control	control	humic	1					2022
CCHT1-S2	T1	Bulk_soil	California	CA_Field_1		CCH2	S-T1-CCH2		CA1	control	control	humic	2					2022
CCHT1-S3	T1	Bulk_soil	California	CA_Field_1		CCH3	S-T1-CCH3		CA1	control	control	humic	3					2022
CCHT1-S4	T1	Bulk_soil	California	CA_Field_1		CCH4	S-T1-CCH4		CA1	control	control	humic	4					2022
CCHT1R1	T1	Rhizosphere	California	CA_Field_1		CCH1	Z-T1-CCH1		CA1	control	control	humic	1					2022
CCHT1R2	T1	Rhizosphere	California	CA_Field_1		CCH2	Z-T1-CCH2		CA1	control	control	humic	2					2022
CCHT1R3	T1	Rhizosphere	California	CA_Field_1		CCH3	Z-T1-CCH3		CA1	control	control	humic	3					2022
CCHT1R4	T1	Rhizosphere	California	CA_Field_1		CCH4	Z-T1-CCH4		CA1	control	control	humic	4					2022
CGCT1-S1	T1	Bulk_soil	California	CA_Field_1		CGC1	S-T1-CGC1		CA1	control	Glyphosate	control	1					2022
CGCT1-S2	T1	Bulk_soil	California	CA_Field_1		CGC2	S-T1-CGC2		CA1	control	Glyphosate	control	2					2022
CGCT1-S3	T1	Bulk_soil	California	CA_Field_1		CGC3	S-T1-CGC3		CA1	control	Glyphosate	control	3					2022
CGCT1-S4	T1	Bulk_soil	California	CA_Field_1		CGC4	S-T1-CGC4		CA1	control	Glyphosate	control	4					2022
CGCT1R1	T1	Rhizosphere	California	CA_Field_1		CGC1	Z-T1-CGC1		CA1	control	Glyphosate	control	1					2022
CGCT1R2	T1	Rhizosphere	California	CA_Field_1		CGC2	Z-T1-CGC2		CA1	control	Glyphosate	control	2					2022
CGCT1R3	T1	Rhizosphere	California	CA_Field_1		CGC3	Z-T1-CGC3		CA1	control	Glyphosate	control	3					2022
CGCT1R4	T1	Rhizosphere	California	CA_Field_1		CGC4	Z-T1-CGC4		CA1	control	Glyphosate	control	4					2022
CGHT1-S1	T1	Bulk_soil	California	CA_Field_1		CGH1	S-T1-CGH1		CA1	control	Glyphosate	humic	1					2022
CGHT1-S2	T1	Bulk_soil	California	CA_Field_1		CGH2	S-T1-CGH2		CA1	control	Glyphosate	humic	2					2022
CGHT1-S3	T1	Bulk_soil	California	CA_Field_1		CGH3	S-T1-CGH3		CA1	control	Glyphosate	humic	3					2022
CGHT1-S4	T1	Bulk_soil	California	CA_Field_1		CGH4	S-T1-CGH4		CA1	control	Glyphosate	humic	4					2022
CGHT1R1	T1	Rhizosphere	California	CA_Field_1		CGH1	Z-T1-CGH1		CA1	control	Glyphosate	humic	1					2022
CGHT1R2	T1	Rhizosphere	California	CA_Field_1		CGH2	Z-T1-CGH2		CA1	control	Glyphosate	humic	2					2022
CGHT1R3	T1	Rhizosphere	California	CA_Field_1		CGH3	Z-T1-CGH3		CA1	control	Glyphosate	humic	3					2022
